model,24h_rmse,48h_rmse,72h_rmse,overall_rmse,mae,r2,training_time_seconds
aqi_random_forest,18.49539943611393,24.163791860608853,25.901055035338253,22.853415444020346,16.988715470831238,0.6689466873964246,90.53889550000895
aqi_ridge,17.959416587809372,24.60676288506138,26.198722317364876,22.921633930078542,16.807488495107943,0.6653565166984472,23.448530699999537
aqi_lstm,20.116653442382812,24.9400634765625,26.782358169555664,23.94635836283366,17.87271531422933,0.6390851338704427,1400.2965801999962
persistence,22.32950267549005,28.77999246293958,31.633496053016398,27.580997063815342,19.01136315092486,0.5175055344598362,0.0
seasonal_persistence,28.834969496194535,31.642875378505966,34.175941858598975,31.55126224443316,22.441240548506983,0.37740019493927757,0.0
