,0
no2_o3_ratio,0.023443991238008912
aqi_lag_168h,0.007534556990709268
aqi_lag_72h,0.0048153183775209605
co_no2_ratio,0.00418271772792507
aqi_lag_48h,0.004135508724223884
no2_lag_72h,0.004078857919782461
pm10_lag_72h,0.004078857919782461
co_lag_72h,0.004078857919782461
pm25_lag_72h,0.004078857919782461
o3_lag_72h,0.004078857919782461
so2_lag_72h,0.004078857919782461
aqi_lag_36h,0.0037956038975753455
aqi_change_24h,0.0035123498753682303
aqi_pct_change_24h,0.0035123498753682303
aqi_lag_24h,0.003455699070926807
so2_lag_48h,0.003399048266485384
no2_lag_48h,0.003399048266485384
o3_lag_48h,0.003399048266485384
co_lag_48h,0.003399048266485384
pm10_lag_48h,0.003399048266485384
pm25_lag_48h,0.003399048266485384
aqi_lag_18h,0.003285746657602538
aqi_lag_12h,0.003115794244278269
aqi_pct_change_6h,0.0030024926353954227
aqi_change_6h,0.0030024926353954227
aqi_lag_8h,0.0030024926353954227
aqi_lag_6h,0.0029458418309539994
aqi_pct_change_3h,0.0028891910265125766
aqi_change_3h,0.0028891910265125766
aqi_lag_4h,0.0028891910265125766
aqi_lag_3h,0.002860865624291865
aqi_lag_2h,0.0028325402220711533
aqi_pct_change_1h,0.002813656620590679
aqi_change_1h,0.002813656620590679
aqi_rolling_std_3h,0.002804214819850442
aqi_lag_1h,0.002804214819850442
aqi_rolling_std_6h,0.0027758894176297304
target_aqi_72h,0.0027758894176297304
target_aqi_48h,0.0027758894176297304
pm25_to_aqi_ratio,0.0027758894176297304
pm10_to_aqi_ratio,0.0027758894176297304
wind_aqi_interaction,0.0027758894176297304
target_aqi_24h,0.0027758894176297304
us_aqi,0.0027758894176297304
aqi_rolling_min_3h,0.002757005816149256
aqi_rolling_max_3h,0.002757005816149256
aqi_rolling_mean_3h,0.002757005816149256
aqi_rolling_std_24h,0.0027475640154090188
aqi_rolling_std_72h,0.0027475640154090188
aqi_rolling_std_48h,0.0027475640154090188
aqi_rolling_std_168h,0.0027475640154090188
aqi_rolling_std_12h,0.0027475640154090188
aqi_rolling_mean_6h,0.0027286804139285445
aqi_rolling_min_6h,0.0027286804139285445
aqi_rolling_max_6h,0.0027286804139285445
aqi_rolling_mean_24h,0.002719238613188307
aqi_rolling_mean_12h,0.002719238613188307
so2_lag_24h,0.002719238613188307
pm10_pct_change_24h,0.002719238613188307
aqi_rolling_max_168h,0.002719238613188307
o3_lag_24h,0.002719238613188307
aqi_rolling_min_168h,0.002719238613188307
aqi_rolling_mean_168h,0.002719238613188307
aqi_rolling_max_72h,0.002719238613188307
aqi_rolling_min_24h,0.002719238613188307
aqi_rolling_min_72h,0.002719238613188307
aqi_rolling_min_12h,0.002719238613188307
aqi_rolling_mean_72h,0.002719238613188307
aqi_rolling_max_12h,0.002719238613188307
aqi_rolling_max_48h,0.002719238613188307
pm10_change_24h,0.002719238613188307
aqi_rolling_mean_48h,0.002719238613188307
aqi_rolling_max_24h,0.002719238613188307
aqi_rolling_min_48h,0.002719238613188307
no2_lag_24h,0.002719238613188307
pm25_lag_24h,0.002719238613188307
pm25_change_24h,0.002719238613188307
pm10_lag_24h,0.002719238613188307
pm25_pct_change_24h,0.002719238613188307
co_lag_24h,0.002719238613188307
pm25_lag_12h,0.002379333786539769
no2_lag_12h,0.002379333786539769
pm10_lag_12h,0.002379333786539769
so2_lag_12h,0.002379333786539769
co_lag_12h,0.002379333786539769
o3_lag_12h,0.002379333786539769
pm10_lag_6h,0.0022093813732154996
o3_lag_6h,0.0022093813732154996
pm25_pct_change_6h,0.0022093813732154996
pm25_change_6h,0.0022093813732154996
pm25_lag_6h,0.0022093813732154996
co_lag_6h,0.0022093813732154996
so2_lag_6h,0.0022093813732154996
pm10_change_6h,0.0022093813732154996
pm10_pct_change_6h,0.0022093813732154996
no2_lag_6h,0.0022093813732154996
pm25_lag_3h,0.002124405166553365
co_lag_3h,0.002124405166553365
so2_lag_3h,0.002124405166553365
pm25_pct_change_3h,0.002124405166553365
no2_lag_3h,0.002124405166553365
pm10_lag_3h,0.002124405166553365
pm25_change_3h,0.002124405166553365
o3_lag_3h,0.002124405166553365
pm10_rolling_std_72h,0.002067754362111942
pm10_rolling_std_12h,0.002067754362111942
pm10_rolling_std_48h,0.002067754362111942
pm10_rolling_std_24h,0.002067754362111942
pm25_change_1h,0.002067754362111942
pm10_rolling_std_6h,0.002067754362111942
pm25_rolling_std_48h,0.002067754362111942
pm10_rolling_std_168h,0.002067754362111942
pm25_rolling_std_3h,0.002067754362111942
pm25_pct_change_1h,0.002067754362111942
pm25_rolling_std_24h,0.002067754362111942
pm25_rolling_std_12h,0.002067754362111942
pm10_change_1h,0.002067754362111942
pm25_rolling_std_6h,0.002067754362111942
pm10_pct_change_1h,0.002067754362111942
pm25_rolling_std_72h,0.002067754362111942
pm10_rolling_std_3h,0.002067754362111942
pm25_rolling_std_168h,0.002067754362111942
pm10_lag_1h,0.002067754362111942
so2_lag_1h,0.002067754362111942
pm25_lag_1h,0.002067754362111942
co_lag_1h,0.002067754362111942
no2_lag_1h,0.002067754362111942
o3_lag_1h,0.002067754362111942
pm10_rolling_mean_6h,0.0020394289598912306
pm10_rolling_max_3h,0.0020394289598912306
pm10_rolling_min_3h,0.0020394289598912306
pm10_rolling_mean_3h,0.0020394289598912306
pm25_rolling_max_168h,0.0020394289598912306
pm25_rolling_min_168h,0.0020394289598912306
pm25_rolling_max_72h,0.0020394289598912306
pm25_rolling_mean_168h,0.0020394289598912306
pm25_rolling_min_24h,0.0020394289598912306
pm25_rolling_min_72h,0.0020394289598912306
