feature_name,dtype,missing_percentage,unique_values,used_for_training,reason_if_excluded
aqi_rolling_max_3h,float64,0.2757005816149256,356,True,
aqi_rolling_std_3h,float64,0.2804214819850442,64431,True,
aqi_rolling_mean_6h,float64,0.2728680413928544,1730,True,
aqi_rolling_min_6h,float64,0.2728680413928544,347,True,
aqi_rolling_max_6h,float64,0.2728680413928544,355,True,
aqi_rolling_std_6h,float64,0.27758894176297305,91131,True,
aqi_rolling_mean_12h,float64,0.27192386131883073,3216,True,
aqi_rolling_min_12h,float64,0.27192386131883073,337,True,
aqi_rolling_max_12h,float64,0.27192386131883073,354,True,
aqi_rolling_std_12h,float64,0.27475640154090186,98964,True,
aqi_rolling_mean_24h,float64,0.27192386131883073,5745,True,
aqi_rolling_min_24h,float64,0.27192386131883073,315,True,
aqi_rolling_max_24h,float64,0.27192386131883073,347,True,
aqi_rolling_std_24h,float64,0.27475640154090186,101439,True,
aqi_rolling_mean_48h,float64,0.27192386131883073,9882,True,
aqi_rolling_min_48h,float64,0.27192386131883073,281,True,
aqi_rolling_max_48h,float64,0.27192386131883073,328,True,
aqi_rolling_std_48h,float64,0.27475640154090186,102959,True,
aqi_rolling_mean_72h,float64,0.27192386131883073,13391,True,
aqi_rolling_min_72h,float64,0.27192386131883073,264,True,
aqi_rolling_max_72h,float64,0.27192386131883073,323,True,
aqi_rolling_std_72h,float64,0.27475640154090186,103200,True,
aqi_rolling_mean_168h,float64,0.27192386131883073,25232,True,
aqi_rolling_min_168h,float64,0.27192386131883073,234,True,
aqi_rolling_max_168h,float64,0.27192386131883073,318,True,
aqi_rolling_std_168h,float64,0.27475640154090186,103510,True,
pm25_rolling_mean_3h,float64,0.20394289598912305,43664,True,
pm25_rolling_min_3h,float64,0.20394289598912305,1131,True,
pm25_rolling_max_3h,float64,0.20394289598912305,1128,True,
pm25_rolling_std_3h,float64,0.2067754362111942,104569,True,
pm25_rolling_mean_6h,float64,0.20394289598912305,19363,True,
pm25_rolling_min_6h,float64,0.20394289598912305,1097,True,
pm25_rolling_max_6h,float64,0.20394289598912305,1113,True,
pm25_rolling_std_6h,float64,0.2067754362111942,105154,True,
