model,24h_rmse,48h_rmse,72h_rmse,overall_rmse,mae,r2,training_time_seconds
aqi_random_forest,18.573443143721057,24.15552627793911,25.84433546182605,22.857768294495404,16.9750041675814,0.6759379474633932,1031.2270967000004
aqi_ridge,17.989857062118475,24.600707444619616,26.08327464628245,22.891279717673516,16.825397540819406,0.67336937501456,30.559371800001827
persistence,22.33448086524873,28.81098638397593,31.539667094466637,27.5617114478971,19.0156533097375,0.5283332770093853,0.0
seasonal_persistence,28.78672792651075,31.560669254023285,34.04489941733925,31.46409886595776,22.392491467576797,0.3940704783224318,0.0
aqi_lstm,38.910274505615234,39.051116943359375,39.29835510253906,39.08658218383789,32.33795293172201,0.07050977150599162,176.93819529999746
