model,city,horizon,rmse,mae,r2
aqi_ridge,overall,24,18.60004435788346,13.114982957270815,0.8327892000498974
aqi_ridge,overall,48,26.084906788502753,18.457182182076377,0.6694869225574143
aqi_ridge,overall,72,27.862450035324024,19.739834301388424,0.6213289838530592
aqi_ridge,Islamabad,24,15.570798699410958,11.902548922584971,0.7567502137100668
aqi_ridge,Islamabad,48,22.006383681208764,16.8137697902836,0.5097427179174374
aqi_ridge,Islamabad,72,24.212970807219733,18.258526043759257,0.40253722748816
aqi_ridge,Karachi,24,13.06251979585201,9.598881661084496,0.5400665863599095
aqi_ridge,Karachi,48,17.470863609086255,12.909444045179,0.15666901776022713
aqi_ridge,Karachi,72,17.800642568741655,13.042122857019338,0.07910099291337924
aqi_ridge,Lahore,24,24.996114793925337,17.843518288142974,0.7755056673900441
aqi_ridge,Lahore,48,35.380151052853996,25.648332710766525,0.5487761002386713
aqi_ridge,Lahore,72,37.759999135876726,27.91885400338668,0.4836141514207689
aqi_random_forest,overall,24,19.071655194504714,13.326703660162414,0.8242023208323578
aqi_random_forest,overall,48,24.701933779119386,17.587688554569123,0.703604247379436
aqi_random_forest,overall,72,26.339181336066485,19.008550406374024,0.6616018312096952
aqi_random_forest,Islamabad,24,15.520376880840388,11.906246034265148,0.7583230601940102
aqi_random_forest,Islamabad,48,20.23487194285569,15.58519215403942,0.5854970625793917
aqi_random_forest,Islamabad,72,22.24606090991862,17.119222837148843,0.49566287658630137
aqi_random_forest,Karachi,24,12.849660093216999,9.437773303773072,0.5549341032173298
aqi_random_forest,Karachi,48,16.22489786086567,12.308351326751632,0.2726670676089058
aqi_random_forest,Karachi,72,17.07437232307049,13.312674743971153,0.15271378641961075
aqi_random_forest,Lahore,24,26.176100407426954,18.63609164244902,0.7538100861000786
aqi_random_forest,Lahore,48,34.02733084073311,24.869522182916324,0.5826230160292438
aqi_random_forest,Lahore,72,35.98382975904502,26.593753638002077,0.531051503807036
aqi_lstm,overall,24,21.379478454589844,14.632149696350098,0.7773210406303406
aqi_lstm,overall,48,25.29987335205078,17.437265396118164,0.6861599683761597
aqi_lstm,overall,72,27.163761138916016,19.03261947631836,0.6355217695236206
aqi_lstm,Islamabad,24,16.950847625732422,13.138447761535645,0.7082921862602234
aqi_lstm,Islamabad,48,20.8118839263916,15.875391960144043,0.5567855834960938
aqi_lstm,Islamabad,72,23.118751525878906,17.89110565185547,0.4496377110481262
aqi_lstm,Karachi,24,13.014369010925293,9.354537010192871,0.5110859870910645
aqi_lstm,Karachi,48,15.38060474395752,10.936068534851074,0.2802867889404297
aqi_lstm,Karachi,72,16.846349716186523,12.062227249145508,0.07993412017822266
aqi_lstm,Lahore,24,30.241384506225586,21.40346336364746,0.6704907417297363
aqi_lstm,Lahore,48,35.3631591796875,25.500328063964844,0.547272801399231
aqi_lstm,Lahore,72,37.354164123535156,27.144519805908203,0.49006837606430054
