feature,mean_abs_shap_24h,mean_abs_shap_48h,mean_abs_shap_72h
numeric__pm25_rolling_mean_6h,0.48828892302545907,0.42162561737605275,0.197131370053726
numeric__pm25_rolling_max_3h,0.48805624136906084,0.0863687597592016,0.005714068224823693
numeric__aqi_rolling_mean_24h,0.484277637907999,0.6080168849702037,0.452484540871987
numeric__pm10_change_24h,0.47642272759394483,0.34478851109968234,0.10953649065562367
numeric__aqi_rolling_mean_48h,0.46673719378555323,0.6614762740419176,1.080551289397228
numeric__pm10_rolling_std_168h,0.45152996536287365,1.1472813372124337,1.5025663550147392
numeric__pm25_rolling_min_168h,0.44094279212390625,0.48624502515908513,0.47903743959212225
numeric__no2_lag_3h,0.43373037321437763,0.4030799738216078,0.4641810534610825
numeric__aqi_rolling_min_72h,0.43302327171702387,0.4772473987035091,0.5022242725797628
numeric__pm25_rolling_mean_3h,0.39851334548765127,0.030902164527666344,0.0894440904346417
numeric__aqi_rolling_mean_72h,0.39134053505727917,0.5257949773505064,0.31627651470262236
numeric__pm25_rolling_max_6h,0.3554882090057353,0.041605209714544636,0.004890663992957009
numeric__o3_lag_1h,0.35278398629328805,0.32785026501009257,0.3668171630772142
numeric__pm25_rolling_mean_48h,0.345251325779432,0.2937041757763529,0.444116350420474
numeric__consecutive_high_pm25_hours,0.3404331119279088,0.017847187160945178,0.002076338874257093
numeric__pm25_rolling_mean_24h,0.3403996629001082,0.24210127695429906,0.37467783888482215
numeric__pm25_rolling_max_48h,0.3399265833240386,0.015205817291526843,0.16849728687954746
numeric__temperature_pm25_interaction,0.3130852583257327,0.23906951174131658,0.05344723679697819
numeric__temperature_rolling_max_3h,0.3082251782549431,0.2599737310906868,0.39840637745825425
numeric__hour_cos,0.28511609660574083,0.34140339771318245,0.3514052824061446
numeric__aqi_rolling_max_168h,0.2839013009940265,0.3421588002766484,0.2603884153625159
numeric__aqi_rolling_std_3h,0.2784364178364934,0.2669697336621458,0.2839165279134743
numeric__temperature_lag_3h,0.2713552477346641,0.36009998544141947,0.18816110824786955
numeric__aqi_pct_change_6h,0.26461888686886903,0.23556087778394258,0.1928672361264513
numeric__temperature_rolling_mean_3h,0.2619532922189361,0.20785493466419122,0.16278150197212415
numeric__pm10_rolling_max_24h,0.26069413048254725,0.18484724967072408,0.6937265214262434
numeric__temperature_rolling_min_3h,0.25855180935464217,0.11991874087972428,0.08044559505380457
numeric__aqi_rolling_mean_168h,0.25393687192716785,0.1694088201089737,0.21350354313428563
city__city_Islamabad,0.2534076649465701,0.30354800335940074,0.23928307978969096
numeric__wind_rolling_max_72h,0.2516024710975923,0.3596065475834998,0.3762541825020438
numeric__pm25_rolling_min_3h,0.2506566033930058,0.08703855531331371,0.010656674476573364
numeric__aqi_rolling_min_48h,0.24573320000734877,0.28665814567728387,0.3198870514104853
numeric__pm25_lag_1h,0.2277479121037568,0.14599112746537898,0.04347638249771306
numeric__humidity_rolling_max_6h,0.22310193816459645,0.23396933998873348,0.17520584566552483
numeric__pm25_rolling_min_6h,0.21886059946435601,0.1455725273838161,0.09507766471315393
numeric__high_pm25,0.2141168322961859,0.05276979898723363,0.05181863404688519
numeric__temperature_rolling_std_24h,0.19847941957392748,0.1817286539120801,0.16369247759587888
numeric__wind_direction_cos,0.19301835429562106,0.22272119374947744,0.021406259215412664
numeric__aqi_rolling_min_6h,0.18243281829022154,0.12029985308691589,0.29023045095243977
numeric__pm25_rolling_min_12h,0.18030234331094488,0.10182869134258508,0.06995438093907601
numeric__no2_lag_6h,0.17888341100978924,0.2553014994601959,0.3785048842798952
numeric__pm25_rolling_std_168h,0.17421563915623367,0.43463476241729376,0.7584110234092891
numeric__temperature_rolling_min_24h,0.172277498833105,0.18912771867933612,0.15542343123539493
numeric__aqi_rolling_min_168h,0.1707281369321468,0.4954513920422144,0.46698608935591623
numeric__pm10_rolling_min_168h,0.16853581780934962,0.3081777563100334,0.2656740710213538
numeric__pm25_rolling_min_24h,0.16815906553787488,0.13966937370969182,0.2617350369335465
numeric__aqi_rolling_max_72h,0.1626889903638866,0.2545390622777394,0.14548668701606543
numeric__aqi_lag_4h,0.1574882933939413,0.16869264873681145,0.13567892210716848
numeric__pressure_change_6h,0.1547803289432169,0.33689526957779836,0.20256601740591565
numeric__humidity_pm25_interaction,0.15319347295149946,0.06465680340022995,0.06108899143287225
numeric__aqi_change_6h,0.1503185553365336,0.19439661701322808,0.1893480248817727
numeric__pm25_lag_24h,0.14799603276002518,0.12205927487070778,0.12090662701803435
numeric__aqi_rolling_min_24h,0.1475433563695589,0.291627202308497,0.024841074292480437
numeric__pm10_rolling_max_3h,0.13995684513385165,0.09536904496847894,0.036059582663232496
numeric__temperature_rolling_max_168h,0.1376516254182965,0.13347242554532296,0.13238389357488292
numeric__aqi_rolling_std_6h,0.13610837090149505,0.19611961292627123,0.1499758965824585
numeric__pm10_rolling_max_6h,0.13488297397202217,0.1142202415894888,0.0725005462499166
numeric__pm10,0.13461527601007,0.07041948441529242,0.06523493935904918
numeric__pm25_pm10_ratio,0.1332922350894256,0.19882499897197672,0.12957874454418467
numeric__wind_rolling_max_12h,0.13083674694268557,0.05815226316825578,0.01415087193695109
numeric__wind_rolling_max_48h,0.12972189284344046,0.18787017083028962,0.29691274373672605
numeric__pressure_lag_3h,0.12545560039475306,0.3413106933461273,0.38997587581031334
numeric__pm25_rolling_max_24h,0.12396387577267516,0.08662709765995812,0.05109964503454614
numeric__pm25_to_aqi_ratio,0.12360672730798121,0.011273444255131593,0.03570560727364704
numeric__wind_rolling_std_72h,0.12297599546744148,0.12256970957172961,0.20256245619597815
numeric__so2_lag_3h,0.12263573652107093,0.23997435626792252,0.07941550747778803
numeric__pm10_to_aqi_ratio,0.11347318873721607,0.10681350437295199,0.13660487702213742
numeric__temperature_lag_1h,0.1112393166464524,0.13694862802412075,0.17730300342106303
numeric__pm10_rolling_mean_48h,0.1104366514100374,0.06635698831331972,0.005741949196499912
numeric__aqi_rolling_std_168h,0.10705697229946042,0.13753279986605557,0.330749954916398
